,address,area,date,location,time,type
1318,34X W MOANALUA FWY,MOANALUA V,12/3/2016,MFW TRIPLER ON,9:35:29 AM,STALLED/HAZARDOUS VEHICLE
1319,PUUHUE PL&STILLMAN; LN,NUUANU,12/3/2016, ,9:34:20 AM,MOTOR VEHICLE COLLISION
1320,11X H1W FWY,AIEA,12/1/2016,H1W WAIMALU OFF,10:36:19 AM,MOTOR VEHICLE COLLISION - TOWED
1321,99079X IWAIWA ST,AIEA,12/1/2016,HALAWA DIST PK,10:27:16 AM,MOTOR VEHICLE COLLISION
1322,HAU ST&MOKAUEA; ST,KALIHI,12/1/2016, ,10:24:24 AM,MOTOR VEHICLE COLLISION
1323,S KING ST&NUUANU; AVE,DOWNTOWN,12/1/2016, ,10:24:12 AM,MOTOR VEHICLE COLLISION
1324,HALA DR&KAPALAMA; AVE,KALIHI,12/1/2016, ,10:13:18 AM,MOTOR VEHICLE COLLISION
1325,77X KAPIOLANI BLVD,HONOLULU,12/1/2016, ,10:13:16 AM,MOTOR VEHICLE COLLISION
1326,29X JEAL RD,SCHOFIELD,12/1/2016,SCHOFIELD FUNSTON GA,10:13:09 AM,MOTOR VEHICLE COLLISION
1327,13X H1E FWY,AIEA,12/1/2016,H1E HALAWA HTS OFF,10:00:18 AM,MOTOR VEHICLE COLLISION
1328,16TH AVE&WAIALAE; AVE,KAIMUKI,12/1/2016, ,9:58:03 AM,MOTOR VEHICLE COLLISION - TOWED
1329,12X H1E FWY,AIEA,12/1/2016,H1E KAONOHI OP,9:39:29 AM,STALLED/HAZARDOUS VEHICLE
1330,2X H2N FWY,PEARL CITY,12/2/2016,H2N KA UKA ON,5:20:41 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1331,20X H1E FWY,KALIHI,12/2/2016,H1E LIKELIKE OFF,5:15:16 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1332,98047X HOOKANIKE ST,PEARL CITY,12/3/2016, ,4:21:18 PM,MOTOR VEHICLE COLLISION
1333,92078X FARRINGTON HWY,KAPOLEI,12/3/2016,HONOKAI HALE,4:20:13 PM,TRAFFIC SIGNAL PROBLEM
